S.No,DateTime,Residue,Blaine,cem_type,C3A,C4AF,G-SO3,G-Moisture,FA-Blaine,Gypsum Weigh Feeder_TPH,Fly Ash SFF_TPH,Drive Power_MILL_KW,Separator_speed_RPM,Position_Master Roller1_mm,Counter Pressure_HLSM_mm,Hydraulic_pressure,Fan Power_Kw
2819,03-10-2022 07:30,23,349,Non Premium,7.34,12.83,42.35,0.7,306,3.7,60.53,3093.72,905,64.63,23.1,73.17,1277.38
2877,03-10-2022 08:28,21.4,341,Non Premium,7.34,12.83,42.35,0.7,306,3.64,64.72,3118.12,915,68.03,20.25,79.35,1264.35
2939,03-10-2022 09:30,20.7,337,Non Premium,7.34,12.83,42.35,0.7,306,3.46,60.02,3141.49,925,62.06,20.97,78.54,1283.1
2993,03-10-2022 10:24,21.2,332,Non Premium,7.34,12.83,42.35,0.7,306,3.71,63.15,3306.73,926,88.69,21.7,78.33,1270.84
3071,03-10-2022 11:42,22.5,341,Non Premium,7.34,12.83,42.35,0.7,306,3.75,63.84,2886.72,926,75.96,21.56,78.97,1270.54
3117,03-10-2022 12:28,21.2,341,Non Premium,7.34,12.83,42.35,0.7,306,3.63,63.56,3149.97,916,73.2,22.56,77.36,1272.59
3171,03-10-2022 13:22,24.6,335,Non Premium,7.34,12.83,42.35,0.7,306,3.68,63.92,3138.17,917,73.2,21.87,77.96,1270.4
3241,03-10-2022 14:32,18.8,342,Non Premium,7.34,12.83,42.35,0.7,306,3.61,61.64,3105.77,876,64.36,21.73,71.76,1279.89
3294,03-10-2022 15:25,19.1,339,Non Premium,7.34,12.83,42.35,0.7,306,3.49,63.9,3038.58,923,71.5,23.8,76.56,1257.1
3353,03-10-2022 16:24,18,333,Non Premium,7.34,12.83,42.35,0.7,306,3.76,64.95,3065.38,905,58.27,24.79,75.25,1256.32
3837,04-10-2022 00:28,20,349,Non Premium,7.53,12.77,42.35,0.7,304,3.52,58.61,3349.76,896,75.77,24.47,79.85,1247.65
3901,04-10-2022 01:32,21,343,Non Premium,7.53,12.77,42.35,0.7,304,3.86,62.7,3050.29,896,56.32,22.68,81.73,1258.58
3960,04-10-2022 02:31,21.4,340,Non Premium,7.53,12.77,42.35,0.7,,3.83,63.22,3187.01,896,92.96,22.02,80.61,1242.43
4027,04-10-2022 03:38,20.7,342,Non Premium,7.53,12.77,42.35,0.7,304,3.86,63.02,3080.61,897,84.38,22.98,81.84,1249.84
4077,04-10-2022 04:28,23.4,343,Non Premium,7.53,12.77,42.35,0.7,304,3.94,65.82,,876,91.94,22.52,79.49,1249.99
4121,04-10-2022 05:12,20.3,337,Non Premium,7.53,12.77,42.35,0.7,304,3.77,65.66,2891.65,897,71.23,21.83,81.26,1247.53
4199,04-10-2022 06:30,20.6,351,Non Premium,7.53,12.77,42.35,0.7,304,3.73,65.31,3241.7,896,70.63,22.48,76.6,1246.14
4259,04-10-2022 07:30,20.8,347,Non Premium,7.53,12.77,42.35,0.7,304,3.76,64.69,2944.52,886,85.92,22.3,79.33,1250.46
4335,04-10-2022 08:46,20.2,339,Non Premium,7.53,12.77,42.35,0.7,304,3.9,66.63,3089.96,896,63.51,21.41,79.74,1253.42
4377,04-10-2022 09:28,21.5,365,Non Premium,7.53,12.77,42.35,0.7,304,3.98,66.47,2974.93,896,62.89,21.65,79.97,1251.15
4431,04-10-2022 10:22,21.7,357,Non Premium,7.53,12.77,42.35,0.7,304,3.96,66.72,2972.72,856,50.69,21.22,78.69,1203.27
4503,04-10-2022 11:34,21,350,Non Premium,7.53,12.77,42.35,0.7,304,4.14,69.98,3052.49,856,81.07,20.88,80.49,1196.98
4555,04-10-2022 12:26,21.8,361,Non Premium,7.53,12.77,42.35,0.7,304,3.99,67.58,3161.84,866,71.11,23.78,76.54,1208.4
5281,05-10-2022 00:32,20.3,354,Non Premium,7.59,12.8,42.35,0.7,296,3.69,62.49,3272.79,896,75.98,23.78,71.04,1238.79
5369,05-10-2022 02:00,21,361,Non Premium,7.59,12.8,42.35,0.7,296,3.96,69.01,3142.89,896,63.97,22.66,82.22,1236.79
5397,05-10-2022 02:28,18.9,373,Non Premium,7.59,12.8,42.35,0.7,296,3.95,68.46,3145.33,896,51.67,21.52,82.41,1233.18
5453,05-10-2022 03:24,20.4,379,Non Premium,7.59,12.8,42.35,0.7,296,3.99,68.11,3128.93,896,66.1,21.19,82.57,1233.5
5511,05-10-2022 04:22,20.9,378,Non Premium,7.59,12.8,42.35,0.7,296,3.99,68.34,3132.26,896,55.66,20.84,82.5,1230.94
5582,05-10-2022 05:33,21.8,363,Non Premium,7.59,12.8,42.35,0.7,296,3.98,68.18,2284.22,897,99.79,20.39,85.38,1254.96
5633,05-10-2022 06:24,21.5,356,Non Premium,7.59,12.8,42.35,0.7,296,3.97,66.75,2868.77,875,76.43,20.2,80.74,1231.01
5701,05-10-2022 07:32,21.2,361,Non Premium,7.59,12.8,42.35,0.7,296,3.63,64.18,3010.49,886,87.51,23,69.95,1240.56
5751,05-10-2022 08:22,22.9,353,Non Premium,7.59,12.8,42.35,0.7,296,3.7,60.82,3106.06,865,89.5,22.87,74.81,1262.79
5821,05-10-2022 09:32,22.5,346,Non Premium,7.59,12.8,42.35,0.7,296,3.77,64.8,2934.99,876,80.26,21.91,80.43,1256.45
5874,05-10-2022 10:25,17.8,359,Premium,7.59,12.8,42.35,0.7,296,3.71,64.66,3109.52,926,59.06,22.1,79.48,1241.45
5949,05-10-2022 11:40,18,358,Premium,7.59,12.8,42.35,0.7,296,3.67,58.38,3191.78,926,65.54,23.35,76.34,1245.36
6048,05-10-2022 13:31,18.3,327,Premium,7.59,12.8,42.35,0.7,296,3.41,56.32,3020.35,876,60.67,20.46,80.67,1265.78
6106,05-10-2022 14:29,22.4,313,Premium,7.59,12.8,42.35,0.7,296,3.31,56.18,3194.87,876,70.99,21.12,80.39,1240.16
6167,05-10-2022 15:30,21.1,337,Premium,7.59,12.8,42.35,0.7,296,3.5,57.93,3085.13,846,72.08,21.01,80.34,1234.55
6227,05-10-2022 16:30,19.6,328,Premium,7.59,12.8,42.35,0.7,296,3.55,59.01,3263.05,875,69.45,22.22,79.24,1237.94
6287,05-10-2022 17:30,19.8,333,Premium,7.59,12.8,42.35,0.7,296,3.64,60.36,3188.75,896,72.68,21.81,80.46,1237.01
6349,05-10-2022 18:32,21,337,Premium,7.59,12.8,42.35,0.7,296,3.51,61.4,3139.17,876,62.33,22,80.45,1252.86
6405,05-10-2022 19:28,22.3,317,Premium,7.59,12.8,42.35,0.7,296,3.56,58.79,3102.58,847,65.19,20.87,81.3,1252.76
6467,05-10-2022 20:30,23.2,323,Non Premium,7.59,12.8,42.35,0.7,296,3.64,61.08,3112.43,846,70.66,22.33,80.74,1225.2
