DateTime,cem_type,Residue,Blaine,C3A,C4AF,G-SO3,G-Moisture,FA-Blaine,Gypsum Weigh Feeder_TPH,Fly Ash SFF_TPH,Drive Power_MILL_KW,Separator_speed_RPM,Position_Master Roller1_mm,Counter Pressure_HLSM_mm,Hydraulic_pressure,Fan Power_Kw
03-10-2022 07:30,Non Premium,23.0,349.0,7.34,12.83,42.35,0.7,306.0,3.7,60.53,3093.72,905.0,64.63,23.1,73.17,1277.38
03-10-2022 08:28,Non Premium,21.4,341.0,7.34,12.83,42.35,0.7,306.0,3.64,64.72,3118.12,915.0,68.03,20.25,79.35,1264.35
03-10-2022 09:30,Non Premium,20.7,337.0,7.34,12.83,42.35,0.7,306.0,3.46,60.02,3141.49,925.0,62.06,20.97,78.54,1283.1
03-10-2022 10:24,Non Premium,21.2,332.0,7.34,12.83,42.35,0.7,306.0,3.71,63.15,3306.73,926.0,88.69,21.7,78.33,1270.84
03-10-2022 11:42,Non Premium,22.5,341.0,7.34,12.83,42.35,0.7,306.0,3.75,63.84,2886.72,926.0,75.96,21.56,78.97,1270.54
03-10-2022 12:28,Non Premium,21.2,341.0,7.34,12.83,42.35,0.7,306.0,3.63,63.56,3149.97,916.0,73.2,22.56,77.36,1272.59
03-10-2022 13:22,Non Premium,24.6,335.0,7.34,12.83,42.35,0.7,306.0,3.68,63.92,3138.17,917.0,73.2,21.87,77.96,1270.4
03-10-2022 14:32,Non Premium,18.8,342.0,7.34,12.83,42.35,0.7,306.0,3.61,61.64,3105.77,876.0,64.36,21.73,71.76,1279.89
03-10-2022 15:25,Non Premium,19.1,339.0,7.34,12.83,42.35,0.7,306.0,3.49,63.9,3038.58,923.0,71.5,23.8,76.56,1257.1
03-10-2022 16:24,Non Premium,18.0,333.0,7.34,12.83,42.35,0.7,306.0,3.76,64.95,3065.38,905.0,58.27,24.79,75.25,1256.32
04-10-2022 00:28,Non Premium,20.0,349.0,7.53,12.77,42.35,0.7,304.0,3.52,58.61,3349.76,896.0,75.77,24.47,79.85,1247.65
04-10-2022 01:32,Non Premium,21.0,343.0,7.53,12.77,42.35,0.7,304.0,3.86,62.7,3050.29,896.0,56.32,22.68,81.73,1258.58
04-10-2022 02:31,Non Premium,21.4,340.0,7.53,12.77,42.35,0.7,268.46415640839973,3.83,63.22,3187.01,896.0,92.96,22.02,80.61,1242.43
04-10-2022 03:38,Non Premium,20.7,342.0,7.53,12.77,42.35,0.7,304.0,3.86,63.02,3080.61,897.0,84.38,22.98,81.84,1249.84
04-10-2022 04:28,Non Premium,23.4,343.0,7.53,12.77,42.35,0.7,304.0,3.94,65.82,3096.998385812523,876.0,91.94,22.52,79.49,1249.99
04-10-2022 05:12,Non Premium,20.3,337.0,7.53,12.77,42.35,0.7,304.0,3.77,65.66,2891.65,897.0,71.23,21.83,81.26,1247.53
04-10-2022 06:30,Non Premium,20.6,351.0,7.53,12.77,42.35,0.7,304.0,3.73,65.31,3241.7,896.0,70.63,22.48,76.6,1246.14
04-10-2022 07:30,Non Premium,20.8,347.0,7.53,12.77,42.35,0.7,304.0,3.76,64.69,2944.52,886.0,85.92,22.3,79.33,1250.46
04-10-2022 08:46,Non Premium,20.2,339.0,7.53,12.77,42.35,0.7,304.0,3.9,66.63,3089.96,896.0,63.51,21.41,79.74,1253.42
04-10-2022 09:28,Non Premium,21.5,365.0,7.53,12.77,42.35,0.7,304.0,3.98,66.47,2974.93,896.0,62.89,21.65,79.97,1251.15
04-10-2022 10:22,Non Premium,21.7,357.0,7.53,12.77,42.35,0.7,304.0,3.96,66.72,2972.72,856.0,50.69,21.22,78.69,1203.27
04-10-2022 11:34,Non Premium,21.0,350.0,7.53,12.77,42.35,0.7,304.0,4.14,69.98,3052.49,856.0,81.07,20.88,80.49,1196.98
04-10-2022 12:26,Non Premium,21.8,361.0,7.53,12.77,42.35,0.7,304.0,3.99,67.58,3161.84,866.0,71.11,23.78,76.54,1208.4
05-10-2022 00:32,Non Premium,20.3,354.0,7.59,12.8,42.35,0.7,296.0,3.69,62.49,3272.79,896.0,75.98,23.78,71.04,1238.79
05-10-2022 02:00,Non Premium,21.0,361.0,7.59,12.8,42.35,0.7,296.0,3.96,69.01,3142.89,896.0,63.97,22.66,82.22,1236.79
05-10-2022 02:28,Non Premium,18.9,373.0,7.59,12.8,42.35,0.7,296.0,3.95,68.46,3145.33,896.0,51.67,21.52,82.41,1233.18
05-10-2022 03:24,Non Premium,20.4,379.0,7.59,12.8,42.35,0.7,296.0,3.99,68.11,3128.93,896.0,66.1,21.19,82.57,1233.5
05-10-2022 04:22,Non Premium,20.9,378.0,7.59,12.8,42.35,0.7,296.0,3.99,68.34,3132.26,896.0,55.66,20.84,82.5,1230.94
05-10-2022 05:33,Non Premium,21.8,363.0,7.59,12.8,42.35,0.7,296.0,3.98,68.18,2284.22,897.0,99.79,20.39,85.38,1254.96
05-10-2022 06:24,Non Premium,21.5,356.0,7.59,12.8,42.35,0.7,296.0,3.97,66.75,2868.77,875.0,76.43,20.2,80.74,1231.01
05-10-2022 07:32,Non Premium,21.2,361.0,7.59,12.8,42.35,0.7,296.0,3.63,64.18,3010.49,886.0,87.51,23.0,69.95,1240.56
05-10-2022 08:22,Non Premium,22.9,353.0,7.59,12.8,42.35,0.7,296.0,3.7,60.82,3106.06,865.0,89.5,22.87,74.81,1262.79
05-10-2022 09:32,Non Premium,22.5,346.0,7.59,12.8,42.35,0.7,296.0,3.77,64.8,2934.99,876.0,80.26,21.91,80.43,1256.45
05-10-2022 10:25,Premium,17.8,359.0,7.59,12.8,42.35,0.7,296.0,3.71,64.66,3109.52,926.0,59.06,22.1,79.48,1241.45
05-10-2022 11:40,Premium,18.0,358.0,7.59,12.8,42.35,0.7,296.0,3.67,58.38,3191.78,926.0,65.54,23.35,76.34,1245.36
05-10-2022 13:31,Premium,18.3,327.0,7.59,12.8,42.35,0.7,296.0,3.41,56.32,3020.35,876.0,60.67,20.46,80.67,1265.78
05-10-2022 14:29,Premium,22.4,313.0,7.59,12.8,42.35,0.7,296.0,3.31,56.18,3194.87,876.0,70.99,21.12,80.39,1240.16
05-10-2022 15:30,Premium,21.1,337.0,7.59,12.8,42.35,0.7,296.0,3.5,57.93,3085.13,846.0,72.08,21.01,80.34,1234.55
05-10-2022 16:30,Premium,19.6,328.0,7.59,12.8,42.35,0.7,296.0,3.55,59.01,3263.05,875.0,69.45,22.22,79.24,1237.94
05-10-2022 17:30,Premium,19.8,333.0,7.59,12.8,42.35,0.7,296.0,3.64,60.36,3188.75,896.0,72.68,21.81,80.46,1237.01
05-10-2022 18:32,Premium,21.0,337.0,7.59,12.8,42.35,0.7,296.0,3.51,61.4,3139.17,876.0,62.33,22.0,80.45,1252.86
05-10-2022 19:28,Premium,22.3,317.0,7.59,12.8,42.35,0.7,296.0,3.56,58.79,3102.58,847.0,65.19,20.87,81.3,1252.76
05-10-2022 20:30,Non Premium,23.2,323.0,7.59,12.8,42.35,0.7,296.0,3.64,61.08,3112.43,846.0,70.66,22.33,80.74,1225.2
07-10-2022 01:28,Non Premium,22.2,357.0,7.23,12.68,42.35,0.7,300.0,3.59,59.2,3234.19,806.0,78.94,23.63,78.83,1241.67
07-10-2022 02:28,Non Premium,23.0,358.0,7.23,12.68,42.35,0.7,300.0,3.59,60.16,3185.75,825.0,52.12,21.43,82.33,1271.5
07-10-2022 03:20,Non Premium,22.2,365.0,7.23,12.68,42.35,0.7,300.0,3.51,61.08,3002.01,826.0,46.65,22.57,81.59,1279.14
07-10-2022 04:32,Non Premium,21.8,370.0,7.23,12.68,42.35,0.7,300.0,3.69,65.43,3115.76,825.0,55.14,21.87,83.04,1260.35
07-10-2022 05:26,Non Premium,22.1,348.0,7.23,12.68,42.35,0.7,300.0,3.69,65.46,3186.14,826.0,62.83,22.81,79.86,1248.34
07-10-2022 06:28,Non Premium,22.4,356.0,7.23,12.68,42.35,0.7,300.0,3.76,63.66,3201.71,856.0,51.73,21.76,82.42,1248.64
07-10-2022 07:32,Premium,20.0,363.0,7.23,12.68,42.35,0.7,300.0,3.54,59.03,3240.85,925.0,58.35,21.09,83.07,1219.7
07-10-2022 08:35,Premium,20.1,364.0,7.23,12.68,42.35,0.7,300.0,3.38,55.96,3090.75,945.0,52.49,20.67,84.3,1251.68
07-10-2022 09:30,Premium,17.9,354.0,7.23,12.68,42.35,0.7,300.0,3.52,59.62,3146.14,946.0,49.88,20.68,84.8,1242.87
07-10-2022 10:30,Premium,18.5,377.0,7.23,12.68,42.35,0.7,300.0,3.58,59.89,3064.68,915.0,58.06,21.1,84.02,1239.85
07-10-2022 11:30,Premium,19.0,360.0,7.23,12.68,42.35,0.7,300.0,3.69,62.85,3066.18,915.0,63.05,21.12,84.66,1236.22
07-10-2022 15:45,Premium,17.2,360.0,7.23,12.68,42.35,0.7,300.0,3.36,56.32,3148.44,886.0,73.14,24.88,77.19,1284.65
07-10-2022 16:30,Premium,19.0,351.0,7.23,12.68,42.35,0.7,300.0,3.55,59.7,3243.29,925.0,79.06,21.32,83.62,1251.7
07-10-2022 17:45,Premium,19.6,354.0,7.23,12.68,42.35,0.7,300.0,3.66,69.27,3170.55,890.0,80.8,21.53,82.48,1242.36
07-10-2022 17:46,Premium,19.6,354.0,7.23,12.68,42.35,0.7,300.0,3.59,60.59,3154.77,891.0,67.26,22.16,81.62,1237.98
07-10-2022 18:35,Premium,18.5,367.0,7.23,12.68,42.35,0.7,300.0,3.58,62.81,3097.21,886.0,50.98,24.71,79.3,1246.27
07-10-2022 18:36,Premium,18.5,367.0,7.23,12.68,42.35,0.7,300.0,3.61,65.89,3166.69,886.0,56.28,24.29,79.94,1252.41
07-10-2022 19:32,Premium,19.0,362.0,7.23,12.68,42.35,0.7,300.0,3.45,55.23,3022.04,875.0,52.64,22.81,81.58,1260.28
07-10-2022 19:34,Premium,19.0,362.0,7.23,12.68,42.35,0.7,300.0,3.57,59.16,2806.19,875.0,59.72,22.36,81.6,1261.36
