Date,Quantity
03-04-2017,1.93
04-04-2017,10.19
06-04-2017,10.19
06-04-2017,3.03
07-04-2017,5.15
07-04-2017,10.19
08-04-2017,3.96
08-04-2017,5.24
08-04-2017,2.01
08-04-2017,4.08
10-04-2017,3.87
10-04-2017,5.04
10-04-2017,2.45
10-04-2017,3.02
10-04-2017,10.19
10-04-2017,10.19
11-04-2017,7.65
11-04-2017,4.05
11-04-2017,4.14
12-04-2017,0.34
12-04-2017,1.94
12-04-2017,1.91
13-04-2017,10.19
15-04-2017,4.03
15-04-2017,2.04
15-04-2017,5.92
15-04-2017,2.54
17-04-2017,1.92
17-04-2017,5.02
17-04-2017,1.93
18-04-2017,4.07
18-04-2017,2.24
18-04-2017,1.51
18-04-2017,1.91
18-04-2017,2.1
18-04-2017,10.19
18-04-2017,10.19
18-04-2017,1.76
18-04-2017,2.53
19-04-2017,3.05
19-04-2017,5.07
19-04-2017,3.03
19-04-2017,7.53
19-04-2017,5.1
20-04-2017,4.55
20-04-2017,10.19
20-04-2017,4.05
21-04-2017,2.99
21-04-2017,5.34
22-04-2017,0.99
22-04-2017,1.15
24-04-2017,5.82
24-04-2017,4.09
24-04-2017,2.08
24-04-2017,10.19
24-04-2017,3
24-04-2017,10.19
24-04-2017,10.19
24-04-2017,10.19
24-04-2017,-2.08
25-04-2017,2.98
25-04-2017,10.19
25-04-2017,2.06
25-04-2017,3.93
26-04-2017,3.93
26-04-2017,2
26-04-2017,5.29
26-04-2017,10.19
26-04-2017,4.73
27-04-2017,2.86
28-04-2017,4.98
28-04-2017,0.51
28-04-2017,3.01
28-04-2017,2.08
28-04-2017,1
28-04-2017,9.48
28-04-2017,2.99
28-04-2017,5.26
29-04-2017,3.08
29-04-2017,2.02
29-04-2017,5.51
29-04-2017,5.5
29-04-2017,10.19
29-04-2017,10.19
29-04-2017,10.19
30-04-2017,10.19
30-04-2017,10.19
30-04-2017,2.04
30-04-2017,1.02
30-04-2017,3.05
30-04-2017,10.19
30-04-2017,5.2
30-04-2017,2.97
02-05-2017,5.23
02-05-2017,3.12
02-05-2017,0.99
02-05-2017,2.77
03-05-2017,1.52
03-05-2017,10.19
03-05-2017,1.02
04-05-2017,10.19
05-05-2017,10.19
05-05-2017,1.02
05-05-2017,0.69
06-05-2017,5.46
06-05-2017,5.03
06-05-2017,2.56
08-05-2017,0.46
08-05-2017,2.02
08-05-2017,4.5
08-05-2017,0.27
08-05-2017,10.19
08-05-2017,10.19
09-05-2017,6.03
09-05-2017,9.62
09-05-2017,4.06
