Date,Forecasted_Quantity,Lower_CI,Upper_CI
01-01-2024,4.843715152,-1.269574464,10.95700477
02-01-2024,4.6863983,-1.455278333,10.82807493
03-01-2024,4.860764991,-1.294846517,11.0163765
04-01-2024,5.241058327,-0.926037357,11.40815401
05-01-2024,5.686145572,-0.495022638,11.86731378
06-01-2024,5.650643903,-0.547992559,11.84928037
07-01-2024,5.726784016,-0.486376764,11.9399448
08-01-2024,5.887639598,-0.340425746,12.11570494
09-01-2024,5.84108559,-0.415383209,12.09755439
10-01-2024,5.956574516,-0.320304317,12.23345335
11-01-2024,5.771219706,-0.533094052,12.07553346
12-01-2024,5.854918795,-0.472448046,12.18228564
13-01-2024,6.309216526,-0.043176187,12.66160924
14-01-2024,6.591103009,0.207084266,12.97512175
15-01-2024,6.082439075,-0.333258471,12.49813662
16-01-2024,6.146326302,-0.305321793,12.5979744
17-01-2024,6.181410063,-0.325228765,12.68804889
18-01-2024,5.612962994,-0.946394042,12.17232003
19-01-2024,5.818627597,-0.761086415,12.39834161
20-01-2024,5.823021573,-0.776145017,12.42218816
21-01-2024,5.588814984,-1.027021892,12.20465186
22-01-2024,5.815069855,-0.818654479,12.44879419
23-01-2024,5.724888565,-0.936554364,12.38633149
24-01-2024,5.544750438,-1.132619732,12.22212061
25-01-2024,5.579561825,-1.123857026,12.28298068
26-01-2024,5.618981418,-1.11226217,12.35022501
27-01-2024,5.394316319,-1.360261495,12.14889413
28-01-2024,5.397854103,-1.384000124,12.17970833
29-01-2024,5.525121164,-1.286508453,12.33675078
30-01-2024,5.309057228,-1.5320662,12.15018066
31-01-2024,5.327981365,-1.540236746,12.19619948
01-02-2024,5.379911258,-1.525178057,12.28500057
02-02-2024,5.23739908,-1.69815341,12.17295157
03-02-2024,5.20060848,-1.766172606,12.16738957
04-02-2024,5.326941242,-1.67522668,12.32910916
05-02-2024,5.265729674,-1.766477364,12.29793671
06-02-2024,5.216161996,-1.846122617,12.27844661
07-02-2024,5.420160342,-1.675443842,12.51576453
08-02-2024,5.373042009,-1.757627072,12.50371109
09-02-2024,5.343969558,-1.817015035,12.50495415
10-02-2024,5.524459999,-1.672407287,12.72132728
11-02-2024,5.534781102,-1.697692974,12.76725518
12-02-2024,5.501037859,-1.762558996,12.76463471
13-02-2024,5.662294161,-1.636482744,12.96107106
14-02-2024,5.726766364,-1.606238899,13.05977163
15-02-2024,5.66671001,-1.697204268,13.03062429
16-02-2024,5.821135768,-1.574517519,13.21678906
17-02-2024,5.888979242,-1.539829645,13.31778813
18-02-2024,5.823358412,-1.633680094,13.28039692
19-02-2024,5.937040042,-1.548809269,13.42288935
20-02-2024,6.012663413,-1.503264323,13.52859115
21-02-2024,5.942794549,-1.598525945,13.48411504
22-02-2024,6.003094698,-1.563928542,13.57011794
23-02-2024,6.084258108,-1.509413362,13.67792958
24-02-2024,5.991084291,-1.626344148,13.60851273
25-02-2024,6.006290264,-1.633965549,13.64654608
26-02-2024,6.068430395,-1.596432726,13.73329352
27-02-2024,5.963711296,-1.723263041,13.65068563
28-02-2024,5.933515401,-1.774373454,13.64140426
29-02-2024,5.974823473,-1.756060104,13.70570705
01-03-2024,5.870700908,-1.88124512,13.62264694
02-03-2024,5.797946406,-1.974080893,13.56997371
03-03-2024,5.827931138,-1.966037031,13.62189931
04-03-2024,5.72702286,-2.088166146,13.54221187
05-03-2024,5.630940284,-2.204231721,13.46611229
06-03-2024,5.651451928,-2.205785603,13.50868946
07-03-2024,5.567330118,-2.31204595,13.44670619
08-03-2024,5.464707943,-2.435533584,13.36494947
09-03-2024,5.481231611,-2.442119842,13.40458306
10-03-2024,5.427442598,-2.519626909,13.37451211
11-03-2024,5.329089561,-2.640684222,13.29886334
12-03-2024,5.351881584,-2.642541605,13.34630477
13-03-2024,5.332744473,-2.687600525,13.35308947
14-03-2024,5.252647538,-2.79255811,13.29785319
15-03-2024,5.286211979,-2.785440252,13.35786421
16-03-2024,5.30437566,-2.79538056,13.40413188
17-03-2024,5.251705986,-2.874968315,13.37838029
18-03-2024,5.295615094,-2.859127771,13.45035796
19-03-2024,5.350481011,-2.833969628,13.53493165
20-03-2024,5.325548077,-2.887440261,13.53853642
21-03-2024,5.378178218,-2.86376146,13.6201179
