Date,FY,Products,dia,dia group,grade,type,length,Voucher Type,Quantity,Rate,Value
04-03-2017,FY 18,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,14.55875,40000,681954.5
04-03-2017,FY 18,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales,9.09,43200,392688
04-03-2017,FY 18,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales,3.94,41700,164298
04-03-2017,FY 18,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,1.93,41200,79516
04-03-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,1.03,41200,42436
04-04-2017,FY 18,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales,6.7,39976.19,267840.47
04-04-2017,FY 18,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,14.55875,37976.19,578757.14
04-05-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,13.72,40000,548800
04-05-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,12.77,40000,510800
04-06-2017,FY 18,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,14.55875,41500,606730
04-06-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,10.16,42500,431800
04-06-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,12.28,42500,521900
04-06-2017,FY 18,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,2.17,42500,92225
04-06-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,2.02,42800,86456
04-06-2017,FY 18,TISCON-TMT IS:1786 Fe-500D 8mm L 7-10,08 MM,08 MM,500D,SHORT LENGTH,7 - 10 METER,Sales,5.09,40750,207417.5
04-06-2017,FY 18,TISCON-TMT IS:1786 Fe500D 16mm  L 10-12m,16 MM,12 MM - 32 MM,500D,SHORT LENGTH,10 - 12 METER,Sales,9.05,40750,368787.5
04-06-2017,FY 18,TISCON-TMT IS:1786 Fe500D 20mm  L  7-10m,20 MM,12 MM - 32 MM,500D,SHORT LENGTH,7 - 10 METER,Sales,7.62,40750,310515
04-06-2017,FY 18,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,3.33,40750,135697.5
04-06-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,12.89,41000,528490
04-06-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,11.92,41000,488720
04-06-2017,FY 18,TISCON-TMT IS:1786 Fe-500D 8mm (T),08 MM,08 MM,500D,SHORT LENGTH,10 - 12 METER,Sales,11.41,40571.43,462920.02
04-06-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,12,39333.33,471999.96
04-06-2017,FY 18,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,3.37,39333.33,132553.32
04-06-2017,FY 18,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales,2.83,41500,117445
04-06-2017,FY 18,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,3.03,41000,124230
04-06-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,3.99,41000,163590
04-06-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,1.94,41000,79540
04-06-2017,FY 18,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales,10.22,43000,439460
04-06-2017,FY 18,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales,3.8,41500,157700
04-06-2017,FY 18,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,4.16,41000,170560
04-07-2017,FY 18,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales,5.01,42800,214428
04-07-2017,FY 18,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales,1.89,41300,78057
04-07-2017,FY 18,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,5.15,40800,210120
04-07-2017,FY 18,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales,4.4,42500,187000
04-07-2017,FY 18,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,10.82,42000,454440
04-07-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,4.57,42000,191940
04-07-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,1.99,42000,83580
04-07-2017,FY 18,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales,3.45,44500,153525
04-07-2017,FY 18,16MM TATA TISCON FE500D (S),16 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,2.11,42500,89675
04-07-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,0.48,42500,20400
04-07-2017,FY 18,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales,5.84,43500,254040
04-07-2017,FY 18,20MM TATA TISCON FE500D (S),20 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,3.92,43000,168560
04-07-2017,FY 18,25MM TATA TISCON FE500D (S),25 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,2.06,43000,88580
04-08-2017,FY 18,08MM TATA TISCON FE500D (S),08 MM,08 MM,500D,FULL LENGTH,12 METER,Sales,3.95,42800,169060
04-08-2017,FY 18,10MM TATA TISCON FE500D (S),10 MM,10 MM,500D,FULL LENGTH,12 METER,Sales,0.95,41300,39235
04-08-2017,FY 18,12MM TATA TISCON FE500D (S),12 MM,12 MM - 32 MM,500D,FULL LENGTH,12 METER,Sales,3.96,40800,161568
