Date,FY,Quantity,Value,April,August,December,February,January,July,June,March,May,November,October,September,t,t_square,log_Quantity
2017-04-03,FY 18,1.93,79516.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6575200029167941
2017-04-04,FY 18,15.24,578757.14,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.7239235502585
2017-04-06,FY 18,14.62,606730.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.6823904543216326
2017-04-06,FY 18,3.03,124230.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.1085626195212777
2017-04-07,FY 18,5.15,210120.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6389967146756448
2017-04-07,FY 18,10.82,454440.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.3813962734183356
2017-04-08,FY 18,3.96,161568.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.3762440252663892
2017-04-08,FY 18,5.24,212220.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6563214983329508
2017-04-08,FY 18,2.01,85425.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6981347220709843
2017-04-08,FY 18,4.08,174624.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.4060969884160703
2017-04-10,FY 18,3.87,157896.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.3532545070416904
2017-04-10,FY 18,5.04,205632.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6174060820832772
2017-04-10,FY 18,2.45,102900.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.8960880245566357
2017-04-10,FY 18,3.02,123216.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.1052568313867783
2017-04-10,FY 18,27.44,1096201.93,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.3120018028576843
2017-04-10,FY 18,26.81,1085805.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.2887749522478678
2017-04-11,FY 18,7.65,309442.5,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.0347056478384444
2017-04-11,FY 18,4.05,170100.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.3987168811184478
2017-04-11,FY 18,4.14,171810.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.4206957878372228
2017-04-12,FY 18,0.34,14280.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,-1.0788096613719298
2017-04-12,FY 18,1.94,79540.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6626879730752367
2017-04-12,FY 18,1.91,80602.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6471032420585384
2017-04-13,FY 18,20.5,818955.53,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.0204248861443626
2017-04-15,FY 18,4.03,170066.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.3937663759585917
2017-04-15,FY 18,2.04,84456.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.712949807856125
2017-04-15,FY 18,5.92,240944.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.7783364488959144
2017-04-15,FY 18,2.54,106680.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.9321640810304452
2017-04-17,FY 18,1.92,81600.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6523251860396901
2017-04-17,FY 18,5.02,203310.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6134299337036377
2017-04-17,FY 18,1.93,81060.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6575200029167941
2017-04-18,FY 18,4.07,175010.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.4036429994545037
2017-04-18,FY 18,2.24,94528.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.8064758658669485
2017-04-18,FY 18,1.51,63722.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.412109650826833
2017-04-18,FY 18,1.91,80602.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.6471032420585384
2017-04-18,FY 18,2.1,88620.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.7419373447293773
2017-04-18,FY 18,13.21,515190.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.580974118534234
2017-04-18,FY 18,20.29,866383.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.0101281538377234
2017-04-18,FY 18,1.76,75680.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.5653138090500605
2017-04-18,FY 18,2.53,107525.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0.9282193027394288
2017-04-19,FY 18,3.05,128710.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.1151415906193203
2017-04-19,FY 18,5.07,219699.98,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.623340817603092
2017-04-19,FY 18,3.03,128775.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.1085626195212777
2017-04-19,FY 18,7.53,299317.5,True,False,False,False,False,False,False,False,False,False,False,False,0,0,2.018895041811802
2017-04-19,FY 18,5.1,206550.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.62924053973028
2017-04-20,FY 18,4.55,192010.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.5151272329628591
2017-04-20,FY 18,21.53,919331.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,3.0694473113762717
2017-04-20,FY 18,4.05,171315.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.3987168811184478
2017-04-21,FY 18,2.99,128570.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.095273387402595
2017-04-21,FY 18,5.34,215202.0,True,False,False,False,False,False,False,False,False,False,False,False,0,0,1.6752256529721035
